accepted_time,username,source_ip,source_port,preceding_window_minutes,preceding_failed_password_count,prior_accepted_logins_from_source,is_peak_attack_window,same_timestamp_sudo_count,same_timestamp_sudo_commands,established_source_baseline,baseline_multiple,detection_threshold,alert_triggered
2026-07-06 00:49:41,backup,192.0.2.12,38101,60,0,0,True,0,,3,0.0,20,False
2026-07-06 00:49:51,backup,192.0.2.31,60641,60,0,0,True,0,,3,0.0,20,False
2026-07-06 01:20:38,backup,198.51.100.24,51692,60,0,0,True,0,,3,0.0,20,False
2026-07-06 01:21:46,backup,192.0.2.10,38675,60,1,0,True,0,,3,0.3,20,False
2026-07-06 01:22:26,backup,198.51.100.26,32000,60,0,0,True,0,,3,0.0,20,False
2026-07-06 05:46:16,backup,192.0.2.10,56401,60,0,1,True,0,,3,0.0,20,False
2026-07-06 06:51:27,backup,192.0.2.30,42607,60,0,0,False,0,,3,0.0,20,False
2026-07-06 08:08:11,backup,192.0.2.10,42003,60,0,2,False,0,,3,0.0,20,False
2026-07-06 08:08:33,backup,192.0.2.21,31292,60,0,0,False,0,,3,0.0,20,False
2026-07-06 08:20:18,backup,192.0.2.12,40594,60,0,1,False,0,,3,0.0,20,False
2026-07-06 08:43:13,backup,192.0.2.12,63245,60,0,2,False,0,,3,0.0,20,False
2026-07-06 08:51:10,backup,198.51.100.24,30967,60,0,1,False,0,,3,0.0,20,False
2026-07-06 09:06:33,backup,198.51.100.25,34022,60,0,0,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-06 09:21:49,backup,192.0.2.21,50400,60,1,1,False,0,,3,0.3,20,False
2026-07-06 09:42:19,backup,198.51.100.26,47042,60,2,1,False,0,,3,0.7,20,False
2026-07-06 09:44:18,backup,192.0.2.21,52531,60,1,2,False,0,,3,0.3,20,False
2026-07-06 10:09:20,backup,192.0.2.11,53125,60,0,0,False,0,,3,0.0,20,False
2026-07-06 10:20:27,backup,192.0.2.30,39821,60,0,1,False,0,,3,0.0,20,False
2026-07-06 10:34:33,backup,192.0.2.40,40810,60,0,0,False,0,,3,0.0,20,False
2026-07-06 10:35:14,backup,198.51.100.26,59286,60,0,2,False,0,,3,0.0,20,False
2026-07-06 10:39:28,backup,192.0.2.30,51247,60,0,2,False,0,,3,0.0,20,False
2026-07-06 10:47:04,backup,198.51.100.23,31951,60,0,0,False,0,,3,0.0,20,False
2026-07-06 10:48:56,backup,192.0.2.40,38820,60,0,1,False,1,/usr/bin/du -sh /var/log,3,0.0,20,False
2026-07-06 10:51:14,backup,192.0.2.30,41404,60,0,3,False,0,,3,0.0,20,False
2026-07-06 10:59:51,backup,198.51.100.25,46717,60,0,1,False,0,,3,0.0,20,False
2026-07-06 11:20:46,backup,198.51.100.26,55654,60,0,3,False,0,,3,0.0,20,False
2026-07-06 11:41:30,backup,192.0.2.20,39008,60,0,0,False,1,/usr/bin/systemctl status ssh,3,0.0,20,False
2026-07-06 11:50:04,backup,198.51.100.24,46210,60,0,2,False,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-06 11:52:06,backup,198.51.100.23,58665,60,1,1,False,0,,3,0.3,20,False
2026-07-06 11:59:21,backup,192.0.2.30,54307,60,0,4,False,0,,3,0.0,20,False
2026-07-06 12:01:43,backup,192.0.2.31,53591,60,0,1,False,0,,3,0.0,20,False
2026-07-06 12:04:12,backup,192.0.2.12,41838,60,1,3,False,0,,3,0.3,20,False
2026-07-06 12:13:22,backup,192.0.2.11,50511,60,0,1,False,0,,3,0.0,20,False
2026-07-06 12:57:01,backup,192.0.2.21,55517,60,0,3,False,0,,3,0.0,20,False
2026-07-06 13:06:28,backup,192.0.2.30,62686,60,0,5,False,0,,3,0.0,20,False
2026-07-06 13:13:09,backup,192.0.2.40,32620,60,0,2,False,0,,3,0.0,20,False
2026-07-06 13:22:05,backup,198.51.100.25,40059,60,0,2,False,0,,3,0.0,20,False
2026-07-06 13:38:41,backup,192.0.2.10,40067,60,0,3,False,0,,3,0.0,20,False
2026-07-06 13:51:44,backup,192.0.2.12,32596,60,0,4,False,0,,3,0.0,20,False
2026-07-06 13:59:05,backup,192.0.2.21,33636,60,0,4,False,0,,3,0.0,20,False
2026-07-06 14:01:07,backup,192.0.2.11,59118,60,0,2,False,0,,3,0.0,20,False
2026-07-06 14:10:24,backup,192.0.2.30,37162,60,0,6,False,0,,3,0.0,20,False
2026-07-06 14:11:38,backup,192.0.2.40,30219,60,1,3,False,1,/usr/bin/apt update,3,0.3,20,False
2026-07-06 14:15:11,backup,192.0.2.31,45241,60,0,2,False,0,,3,0.0,20,False
2026-07-06 14:51:42,backup,198.51.100.24,48781,60,0,3,False,0,,3,0.0,20,False
2026-07-06 14:52:56,backup,192.0.2.12,43745,60,1,5,False,0,,3,0.3,20,False
2026-07-06 15:04:13,backup,198.51.100.25,54615,60,0,3,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-06 15:10:12,backup,198.51.100.25,56440,60,0,4,False,0,,3,0.0,20,False
2026-07-06 15:12:14,backup,192.0.2.21,55018,60,0,5,False,0,,3,0.0,20,False
2026-07-06 15:19:59,backup,198.51.100.23,34941,60,0,2,False,0,,3,0.0,20,False
2026-07-06 15:29:18,backup,198.51.100.26,55356,60,0,4,False,0,,3,0.0,20,False
2026-07-06 16:25:48,backup,192.0.2.21,63277,60,0,6,False,0,,3,0.0,20,False
2026-07-06 16:27:17,backup,192.0.2.20,34826,60,0,1,False,1,/usr/bin/du -sh /var/log,3,0.0,20,False
2026-07-06 16:54:47,backup,198.51.100.26,48703,60,0,5,False,0,,3,0.0,20,False
2026-07-06 18:35:45,backup,192.0.2.10,48366,60,1,4,False,0,,3,0.3,20,False
2026-07-06 18:54:12,backup,192.0.2.20,64639,60,0,2,False,1,/usr/bin/du -sh /var/log,3,0.0,20,False
2026-07-06 19:03:08,backup,192.0.2.20,64726,60,0,3,False,0,,3,0.0,20,False
2026-07-06 19:11:56,backup,192.0.2.40,33083,60,0,4,False,0,,3,0.0,20,False
2026-07-06 19:36:00,backup,198.51.100.23,35207,60,0,3,False,0,,3,0.0,20,False
2026-07-07 02:55:58,backup,198.51.100.24,38717,60,0,4,True,0,,3,0.0,20,False
2026-07-07 03:18:37,backup,198.51.100.23,33153,60,0,4,True,0,,3,0.0,20,False
2026-07-07 04:02:04,backup,192.0.2.30,53461,60,0,7,True,0,,3,0.0,20,False
2026-07-07 04:21:31,backup,192.0.2.10,49362,60,0,5,True,0,,3,0.0,20,False
2026-07-07 04:31:07,backup,198.51.100.24,60996,60,0,5,True,0,,3,0.0,20,False
2026-07-07 05:34:28,backup,192.0.2.21,51174,60,0,7,True,0,,3,0.0,20,False
2026-07-07 08:04:29,backup,198.51.100.23,30723,60,0,5,False,0,,3,0.0,20,False
2026-07-07 08:12:01,backup,192.0.2.21,39872,60,0,8,False,0,,3,0.0,20,False
2026-07-07 08:30:31,backup,198.51.100.23,30597,60,0,6,False,0,,3,0.0,20,False
2026-07-07 08:43:18,backup,192.0.2.11,60916,60,0,3,False,0,,3,0.0,20,False
2026-07-07 09:20:21,backup,192.0.2.12,56974,60,0,6,False,0,,3,0.0,20,False
2026-07-07 09:54:40,backup,198.51.100.24,52167,60,0,6,False,0,,3,0.0,20,False
2026-07-07 09:58:01,backup,192.0.2.31,41629,60,0,3,False,0,,3,0.0,20,False
2026-07-07 10:10:34,backup,192.0.2.10,59830,60,0,6,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-07 10:15:52,backup,192.0.2.40,56371,60,1,5,False,0,,3,0.3,20,False
2026-07-07 10:31:34,backup,198.51.100.24,50545,60,1,7,False,0,,3,0.3,20,False
2026-07-07 10:32:08,backup,192.0.2.10,43250,60,0,7,False,0,,3,0.0,20,False
2026-07-07 10:52:22,backup,192.0.2.20,38903,60,1,4,False,1,/usr/bin/journalctl -n 50,3,0.3,20,False
2026-07-07 10:52:35,backup,192.0.2.30,41508,60,2,8,False,0,,3,0.7,20,False
2026-07-07 11:00:49,backup,192.0.2.12,52126,60,0,7,False,0,,3,0.0,20,False
2026-07-07 11:36:19,backup,198.51.100.24,45912,60,0,8,False,0,,3,0.0,20,False
2026-07-07 12:16:47,backup,192.0.2.12,63591,60,1,8,False,1,/usr/bin/du -sh /var/log,3,0.3,20,False
2026-07-07 12:28:33,backup,192.0.2.40,33448,60,0,6,False,0,,3,0.0,20,False
2026-07-07 12:39:05,backup,198.51.100.23,42419,60,0,7,False,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-07 12:49:50,backup,198.51.100.25,61443,60,0,5,False,0,,3,0.0,20,False
2026-07-07 12:52:02,backup,192.0.2.21,35879,60,1,9,False,0,,3,0.3,20,False
2026-07-07 12:57:24,backup,198.51.100.25,50535,60,0,6,False,1,/usr/bin/du -sh /var/log,3,0.0,20,False
2026-07-07 12:57:37,backup,198.51.100.23,38669,60,0,8,False,0,,3,0.0,20,False
2026-07-07 13:16:21,backup,198.51.100.23,63312,60,1,9,False,0,,3,0.3,20,False
2026-07-07 13:32:44,backup,192.0.2.11,63976,60,0,4,False,0,,3,0.0,20,False
2026-07-07 14:10:30,backup,198.51.100.25,38317,60,0,7,False,0,,3,0.0,20,False
2026-07-07 14:15:16,backup,198.51.100.23,36186,60,0,10,False,0,,3,0.0,20,False
2026-07-07 14:37:21,backup,192.0.2.20,45600,60,0,5,False,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-07 15:11:43,backup,192.0.2.20,44034,60,0,6,False,0,,3,0.0,20,False
2026-07-07 15:19:38,backup,198.51.100.23,51563,60,0,11,False,0,,3,0.0,20,False
2026-07-07 15:45:17,backup,192.0.2.10,30339,60,0,8,False,0,,3,0.0,20,False
2026-07-07 16:04:07,backup,192.0.2.31,53898,60,0,4,False,0,,3,0.0,20,False
2026-07-07 16:04:26,backup,192.0.2.20,62354,60,0,7,False,0,,3,0.0,20,False
2026-07-07 16:05:54,backup,192.0.2.11,54919,60,0,5,False,0,,3,0.0,20,False
2026-07-07 16:13:01,backup,198.51.100.26,49731,60,0,6,False,0,,3,0.0,20,False
2026-07-07 17:03:15,backup,192.0.2.31,34775,60,0,5,False,0,,3,0.0,20,False
2026-07-07 17:25:41,backup,198.51.100.24,38250,60,0,9,False,0,,3,0.0,20,False
2026-07-07 17:53:56,backup,198.51.100.24,48529,60,1,10,False,0,,3,0.3,20,False
2026-07-07 17:54:30,backup,192.0.2.30,64914,60,1,9,False,0,,3,0.3,20,False
2026-07-07 17:58:03,backup,192.0.2.21,58399,60,0,10,False,0,,3,0.0,20,False
2026-07-07 18:13:13,backup,192.0.2.40,45995,60,0,7,False,0,,3,0.0,20,False
2026-07-07 18:15:07,backup,192.0.2.40,36702,60,0,8,False,0,,3,0.0,20,False
2026-07-07 19:22:57,backup,198.51.100.24,32260,60,0,11,False,1,/usr/bin/systemctl status ssh,3,0.0,20,False
2026-07-07 19:32:04,backup,198.51.100.24,42492,60,0,12,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-07 21:59:43,backup,198.51.100.24,57738,60,0,13,False,0,,3,0.0,20,False
2026-07-07 23:49:42,backup,198.51.100.25,45255,60,0,8,False,0,,3,0.0,20,False
2026-07-08 00:48:51,backup,192.0.2.12,46517,60,0,9,True,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-08 02:23:42,backup,198.51.100.24,37514,60,0,14,True,1,/usr/bin/systemctl status ssh,3,0.0,20,False
2026-07-08 07:15:08,backup,192.0.2.31,39756,60,0,6,False,0,,3,0.0,20,False
2026-07-08 08:11:14,backup,192.0.2.40,34588,60,0,9,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-08 08:12:06,backup,198.51.100.26,44422,60,0,7,False,0,,3,0.0,20,False
2026-07-08 08:40:10,backup,192.0.2.21,55529,60,0,11,False,0,,3,0.0,20,False
2026-07-08 08:42:05,backup,192.0.2.11,46814,60,0,6,False,0,,3,0.0,20,False
2026-07-08 08:42:11,backup,192.0.2.11,49889,60,0,7,False,0,,3,0.0,20,False
2026-07-08 09:07:13,backup,192.0.2.30,32951,60,0,10,False,0,,3,0.0,20,False
2026-07-08 09:12:03,backup,198.51.100.24,42448,60,0,15,False,0,,3,0.0,20,False
2026-07-08 09:14:11,backup,192.0.2.21,47263,60,0,12,False,0,,3,0.0,20,False
2026-07-08 09:14:37,backup,198.51.100.25,63431,60,0,9,False,0,,3,0.0,20,False
2026-07-08 09:14:41,backup,192.0.2.20,37407,60,0,8,False,0,,3,0.0,20,False
2026-07-08 09:20:53,backup,198.51.100.26,59360,60,1,8,False,0,,3,0.3,20,False
2026-07-08 09:24:14,backup,198.51.100.23,42912,60,0,12,False,0,,3,0.0,20,False
2026-07-08 09:57:59,backup,198.51.100.24,32111,60,0,16,False,0,,3,0.0,20,False
2026-07-08 10:03:49,backup,192.0.2.10,53571,60,0,9,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-08 10:16:11,backup,198.51.100.24,60931,60,0,17,False,0,,3,0.0,20,False
2026-07-08 10:24:08,backup,192.0.2.20,59039,60,0,9,False,0,,3,0.0,20,False
2026-07-08 11:03:01,backup,198.51.100.23,48939,60,0,13,False,0,,3,0.0,20,False
2026-07-08 11:03:01,backup,192.0.2.12,45416,60,0,10,False,0,,3,0.0,20,False
2026-07-08 11:37:56,backup,192.0.2.20,45113,60,0,10,False,0,,3,0.0,20,False
2026-07-08 11:38:05,backup,198.51.100.26,44478,60,0,9,False,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-08 11:42:10,backup,192.0.2.11,41716,60,0,8,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-08 11:52:21,backup,198.51.100.24,44218,60,0,18,False,0,,3,0.0,20,False
2026-07-08 12:19:59,backup,192.0.2.30,62708,60,0,11,False,0,,3,0.0,20,False
2026-07-08 12:37:02,backup,192.0.2.11,38600,60,0,9,False,0,,3,0.0,20,False
2026-07-08 12:57:09,backup,192.0.2.40,36642,60,0,10,False,0,,3,0.0,20,False
2026-07-08 12:57:42,backup,192.0.2.11,33827,60,0,10,False,0,,3,0.0,20,False
2026-07-08 13:05:40,backup,192.0.2.10,34886,60,0,10,False,0,,3,0.0,20,False
2026-07-08 13:10:33,backup,192.0.2.30,53064,60,2,12,False,0,,3,0.7,20,False
2026-07-08 13:56:28,backup,198.51.100.25,57740,60,1,10,False,1,/usr/bin/du -sh /var/log,3,0.3,20,False
2026-07-08 13:59:08,backup,192.0.2.11,50796,60,0,11,False,0,,3,0.0,20,False
2026-07-08 14:10:23,backup,198.51.100.24,38788,60,0,19,False,0,,3,0.0,20,False
2026-07-08 14:25:52,backup,198.51.100.25,61979,60,0,11,False,0,,3,0.0,20,False
2026-07-08 15:02:32,backup,192.0.2.11,52549,60,3,12,False,0,,3,1.0,20,False
2026-07-08 15:13:24,backup,192.0.2.30,53401,60,0,13,False,1,/usr/bin/systemctl restart apache2,3,0.0,20,False
2026-07-08 15:13:57,backup,198.51.100.24,48942,60,0,20,False,0,,3,0.0,20,False
2026-07-08 15:27:22,backup,192.0.2.12,34001,60,0,11,False,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-08 15:48:09,backup,192.0.2.11,56522,60,3,13,False,1,/usr/bin/apt update,3,1.0,20,False
2026-07-08 15:50:31,backup,192.0.2.11,54018,60,3,14,False,0,,3,1.0,20,False
2026-07-08 16:22:34,backup,198.51.100.25,50425,60,0,12,False,1,/usr/bin/systemctl status ssh,3,0.0,20,False
2026-07-08 16:53:34,backup,192.0.2.10,51575,60,0,11,False,0,,3,0.0,20,False
2026-07-08 16:54:13,backup,198.51.100.24,54600,60,0,21,False,0,,3,0.0,20,False
2026-07-08 16:59:10,backup,198.51.100.23,46127,60,0,14,False,0,,3,0.0,20,False
2026-07-08 17:11:55,backup,192.0.2.12,61135,60,0,12,False,1,/usr/bin/journalctl -n 50,3,0.0,20,False
2026-07-08 17:38:39,backup,192.0.2.12,47362,60,0,13,False,0,,3,0.0,20,False
2026-07-08 17:53:55,backup,192.0.2.11,45711,60,0,15,False,0,,3,0.0,20,False
2026-07-08 17:57:22,backup,198.51.100.26,53655,60,0,10,False,0,,3,0.0,20,False
2026-07-08 18:01:37,backup,198.51.100.25,64750,60,0,13,False,0,,3,0.0,20,False
2026-07-08 18:01:47,backup,198.51.100.24,35439,60,0,22,False,0,,3,0.0,20,False
2026-07-08 18:10:13,backup,198.51.100.26,48753,60,0,11,False,0,,3,0.0,20,False
2026-07-08 18:10:35,backup,192.0.2.31,64394,60,0,7,False,0,,3,0.0,20,False
2026-07-08 18:24:49,backup,192.0.2.11,43613,60,0,16,False,0,,3,0.0,20,False
2026-07-08 18:34:43,backup,192.0.2.40,64745,60,0,11,False,1,/usr/bin/systemctl restart apache2,3,0.0,20,False
2026-07-08 18:41:46,backup,198.51.100.24,50478,60,0,23,False,1,/usr/bin/apt update,3,0.0,20,False
2026-07-08 18:55:52,backup,192.0.2.20,30509,60,0,11,False,1,/usr/bin/systemctl restart apache2,3,0.0,20,False
2026-07-08 18:59:54,backup,198.51.100.26,56513,60,0,12,False,0,,3,0.0,20,False
2026-07-08 19:23:35,backup,192.0.2.40,35452,60,0,12,False,0,,3,0.0,20,False
2026-07-08 20:05:54,backup,192.0.2.31,33609,60,1,8,False,0,,3,0.3,20,False
2026-07-08 20:28:03,backup,198.51.100.26,36458,60,0,13,False,0,,3,0.0,20,False
2026-07-08 22:01:27,backup,192.0.2.20,44460,60,0,12,False,0,,3,0.0,20,False
2026-07-08 23:30:31,backup,198.51.100.25,53927,60,0,14,False,0,,3,0.0,20,False
2026-07-09 01:38:44,backup,192.0.2.10,42331,60,0,12,True,0,,3,0.0,20,False
2026-07-09 03:00:50,backup,192.0.2.11,33920,60,0,17,True,0,,3,0.0,20,False
2026-07-09 03:14:44,backup,192.0.2.12,30642,60,0,14,True,0,,3,0.0,20,False
2026-07-09 04:05:32,backup,192.0.2.40,35095,60,1,13,True,0,,3,0.3,20,False
2026-07-09 05:33:46,backup,198.51.100.26,39125,60,0,14,True,0,,3,0.0,20,False
2026-07-09 07:41:18,backup,192.0.2.21,38997,60,0,13,False,0,,3,0.0,20,False
2026-07-09 08:25:41,backup,198.51.100.25,39750,60,0,15,False,0,,3,0.0,20,False
2026-07-09 08:27:23,backup,192.0.2.10,49566,60,1,13,False,0,,3,0.3,20,False
2026-07-09 08:50:26,backup,192.0.2.21,48129,60,0,14,False,0,,3,0.0,20,False
2026-07-09 09:41:17,backup,192.0.2.30,60322,60,0,14,False,0,,3,0.0,20,False
2026-07-09 09:41:31,backup,198.51.100.26,34164,60,0,15,False,0,,3,0.0,20,False
2026-07-09 09:47:39,backup,198.51.100.24,30319,60,0,24,False,0,,3,0.0,20,False
2026-07-09 09:54:34,backup,192.0.2.21,53984,60,0,15,False,0,,3,0.0,20,False
2026-07-09 10:07:14,backup,192.0.2.30,59928,60,0,15,False,0,,3,0.0,20,False
2026-07-09 10:09:51,backup,192.0.2.30,52072,60,0,16,False,0,,3,0.0,20,False
2026-07-09 10:39:05,backup,198.51.100.25,58581,60,0,16,False,0,,3,0.0,20,False
2026-07-09 10:46:43,backup,192.0.2.10,33175,60,0,14,False,0,,3,0.0,20,False
2026-07-09 11:01:33,backup,198.51.100.25,58161,60,0,17,False,0,,3,0.0,20,False
2026-07-09 11:07:59,backup,192.0.2.12,40376,60,0,15,False,0,,3,0.0,20,False
2026-07-09 11:16:39,backup,192.0.2.30,51742,60,0,17,False,0,,3,0.0,20,False
2026-07-09 11:18:06,backup,198.51.100.26,46877,60,0,16,False,0,,3,0.0,20,False
